word,frequency_classification,definition,word_types,word_endings,sentences
téved,5,(Irányt vesztve) szándéka ellenére valahova jut.,ige,~ni,"Azt hiszem, elvétettük az irányt, ismeretlen helyre tévedtünk.,Eldugott hely ez, hétszámra nem téved erre senki.,(Dolog, kéz, tekintet) véletlenül valahova kerül, illetve irányul.,A bizalmas irat illetéktelen kezekbe tévedt.,Tekintete a szemközti ablakra tévedt.,Keze a lány combjára tévedt.,Akarata ellenére helytelenül ítél.,Elég nagyot tévedtél a számításban."
tevékeny,4,"Cselekvésben aktív, serény.",mn,"~ek,~t,vagy,~et,~en","A menedzser legyen tevékeny ember.,Tevékenyen részt vesz a házimunkában."
tevékenység,4,"Tartós, folyamatos, illetve rendszeres cselekvés.",fn,"~ek,~et,~e","A cég lázas üzleti tevékenységbe kezdett.,(hivatali) Ügyvédi tevékenységet folytat."
tévelyeg,3,(választékos) Cél nélkül ide-oda bolyong.,ige,~ni,"Elvesztettük az irányt, most aztán tévelyeghetünk itt a sötétben.,Valamely követendő erkölcsi normától eltérve elítélendő életmódot folytat.,Csak tévelyeg, amióta belekeveredett ebbe a társaságba."
téves,4,"A valóságostól, illetve a helyestől eltérő.",mn,"~ek,~et,~en","Tévesen ítéli meg a helyzetet.,Téves elképzelései vannak a világról., Téves kapcsolás : az a szituáció, amikor nem a tárcsázott vagy tárcsázni kívánt számon csörög ki a telefon.,Halló, Kovács lakás?,– Nem, itt Szabó Géza, úgy tűnik, ez téves kapcsolás."
téveszt,4,(Főleg szókapcsolatokban:) Eltéveszt.,ige,~eni," Célt téveszt: nem éri el a célját.,A lövés célt tévesztett.,| Pályát téveszt : nem megfelelő foglalkozást választ.,Pályát tévesztett, neki tanárnak kellett volna mennie.,| Szem elől téveszt valakit, valamit : tekintete, figyelme elveszíti.,A tömegben szem elől tévesztette a csinos lányt, akit odáig követett."
tévhit,3,Valamivel kapcsolatban egy vagy több emberben kialakult téves meggyőződés.,fn,,A szóvivő a párt programjával kapcsolatos tévhiteket egy csapásra eloszlatta határozott kijelentéseivel.
tévút,3,"(ritka) A kitűzött iránytól eltérítő, téves út.",fn,,"A kocsi rossz helyen tért le az autópályáról, így tévútra került.,Az igazságtól, a valóságtól, illetve az erkölcsöstől eltérő irány.,Szegény fiút a rossz társaság vezette tévútra.,Tévúton jársz, nem jó helyen keresed a megoldást!"
textil,2,Fonalból szőtt kelme.,fn,"~ek,~t,~je","Ez a tapéta papírból vagy textilből készült?,(Jelzőként:) Otthon textil házipapucsot hordok."
tézis,3,"(régi) Tétel, kidolgozandó feladat.",fn,"~ek,~t,~e","Foglalkozz az érettségi téziseiddel!,Tömör megfogalmazású, (részletesen) be nem bizonyított állítás.,A filozófus közzétette téziseit.,Hosszabb gondolatmenet, tanulmány rövid összefoglalása.,A doktori értekezésének téziseit megtalálod a könyvtárban vagy az interneten."
thriller,2,"Ijesztő, rémületet keltő, izgalmas regény vagy film.",fn,"~ek,~t,~je","Késő este nem merek thrillert olvasni.,Egy jó thrillert láttunk a moziban, aminek csattanós vége volt."
ti,5,"Azok a személyek, akiket a beszélő tegezve megszólít.",nm,,"Mi maradunk, ti menjetek!,Te és a hozzád tartozók vagy veled lévők.,Ti mikor költöztetek új lakásba?,(Birtokos jelzőként:) Hozzátok tartozó, birtokotokban, tulajdonotokban levő.,Ez a ti autótok?"
tífusz,2,"Cseppfertőzéssel terjedő, bacilus okozta súlyos járványos betegség, amelynek legjellemzőbb tünete a vékonybelek fekélyes gyulladása és az ennek következtében fellépő hasmenés.",fn,"~ok,~t,~a","A foglalkozásuk miatt fertőzésveszélynek kitett emberek, például a csatornamunkások védőoltást kapnak tífusz ellen., Kiütéses tífusz : ruhatetű vagy ritkábban fejtetű által terjesztett, bacilus okozta súlyos járványos betegség, amely kiütésekkel, tudatzavarral és magas lázzal jár.,A török hódoltság idején Magyarországon nagyon elterjedt volt a kiütéses tífusz, ezért is kapta a morbus hungaricus, „magyar betegség” elnevezést."
tigris,4,"Ázsiában élő, csíkos bundájú, hatalmas testű macskaféle.",fn,"~ek,~t,~e","Az emberevő hírében álló tigris vérszomjas ragadozó, a Föld legnagyobb termetű macskaféléje, száma azonban mára a kíméletlen vadászat miatt alig néhány ezer példányra fogyatkozott.,(régi, bizalmas) Az ellenzék elszánt híve vagy országgyűlési képviselője, főként 1848 előtt.,„A jegyző felolvasta az első tigris nevét: – Beöthy Ákos!,– Mély temető; csönd támadt a teremben.,Hátakat borsóztató hideg szél lebbent meg a kormánypárti oldalon” (Mikszáth K.: Parlamenti karcolatok).,„Okvetlenül pudli lesz az ellenzéki tigrisből, ha hatalom-falatot kap” (Ady E.: Castelar igazsága)."
tikkad,1,"(választékos) Fáradtság, szomjúság, hőség gyötri.",ige,~ni,"Adjatok egy pohár vizet, tikkadok!,(ritka) (Növény) szárazságtól lankad, fonnyad.,A nagy hőségtől tikkadnak a palánták."
tilalom,5,Tiltó rendelkezés.,fn,,"Több országban behozatali tilalom van érvényben dohányárukra és szeszes italokra.,A vadászati tilalom dúvadakra nem vonatkozik.,A járvány miatt kijárási tilalmat rendeltek el.,(régi) Tiltott terület.,A marhák tilalomba tévedtek."
tilinkó,1,"Fából faragott, hangképző nyílások nélküli, hosszú síp.",fn,"~k,~t,~ja","A pásztorok egykori hangszerét, a tilinkót ma már inkább csak múzeumban láthatjuk."
tiló,1,"(népi) Kender, len tilolására, fás részeinek megtörésére szolgáló, lábakon álló eszköz.",fn,"~k,~t,~ja",Nagyanyám még tilóval törte meg a kendert.
tilol,1,"(Kender, len fás részeit) ütögetve pozdorjává töri.",ige,~ni,"A kendert, a lent áztatás és szárítás után tilolják."
tilos,5,"Olyan (cselekvés), amit tiltanak, ami nincs megengedve, amit nem szabad (meg)tenni.",mn,"~ak,~at,~an","A fűre lépni tilos!,Várakozni tilos!,Idegeneknek tilos a bemenet!,Olyan (hely), ahol valami meg van tiltva.,A kirándulók tilos területre tévedtek., Tilos úton jár : meg nem engedett dolgot művel.,Százszor is megbánta, hogy tilos úton járt.,(ritka) (Behozatali vagy kiviteli) tilalom alá eső (árucikk, tárgy).,Tilos árut foglaltak le a határon., Tilos jelzés : fényjelző készüléken piros színű jelzés, amely a továbbhaladás tilalmát jelzi.,A tilos jelzés ellenére belehajtott a kereszteződésbe."
tilos,5,Tilos terület.,fn,"~ok,~t,vagy,~at,~a","Tilosba ment a jószág.,A tilosban parkoló autókat elvontatják., Tilosba téved : tiltott dologba (különösen szerelmi viszonyba) kezd.,Válni akar, mert megtudta, hogy a férje tilosba tévedt.,(ritka) Tiltott cselekedet.,Te megint valami tilosat cselekedtél.,Jelzőkészüléken (a forgalmat) tiltó jelzés.,Megbüntetett a rendőr, mert nem vettem észre a tilosat.,Átmentünk a tiloson!"
tilt,5,"Azt parancsolja vagy arra ösztönöz, hogy valamit ne tegyünk.",ige,~ani,"Tiltja a szemérem, a jó ízlés, hogy erről beszéljek.,A bankjegyhamisítást a törvény tiltja.,Kezelőorvosom tiltotta a dohányzást, de hiába, nem tudtam róla leszokni."
tímár,1,Állati bőrök kikészítésével foglalkozó iparos.,fn,"~ok,~t,~ja",A nyersbőr cserzése a tímár munkája.
timsó,1,"Vérzéscsillapító hatású, a bőrt összehúzó fehéres, kristályos anyag.",fn,,"A timsó vízben oldódó kettős szulfát.,Az ebből készült rudacska.,Hol a timsó?,Megvágtam magam borotválkozás közben."
tincs,2,(választékos) Hajfürt.,fn,"~ek,~et,~e","A tükör előtt állva hullámos tincseit rendezgeti.,(régi) Lósörény vagy más állati szőr csomója.,A gyapjú tincseit válogatta."
tinó,2,Fiatal herélt bikaborjú.,fn,"~k,~t,~ja","Tinót hizlal eladásra.,(népi) Idősebb, de igába még nem fogott borjú (a nemére való tekintet nélkül).,A tinókat megetette, a teheneket megfejte."
tinóru,1,"Kevés kivétellel ehető, nagy termetű, kalapos erdei gomba.",fn,"~k,~t,~ja",A tinóruk között vannak mérgezők is.
tinta,5,Írásra való (sötét színű) folyadék.,fn,"*k,*t,*ja","Régen tintába mártott lúdtollal írtak.,Ma tintával töltött patront vagy tollbetétet használunk."
tipeg,3,Apró (és bizonytalan) léptekkel halad.,ige,~ni,"A kisfiú pöttöm lábacskáin anyjához tipegett.,Ilyen magas sarkú cipőben csak tipegni lehet, járni nem."
tipli,2,"(bizalmas) Szög vagy csavar megtartására való, falba mélyesztett ék.",fn,"~k,~t,~je","Lyukat fúrt a falba, belerakott egy tiplit, abba erősítette bele a csavart., Hatos, nyolcas, tízes (stb.),tipli : hat, nyolc, tíz (stb.),mm átmérőjű.,Ehhez a polchoz legalább tízes tipli kell, különben leszakad.,Ütésből származó kisebb duzzanat.,A verekedés során kapott ütéstől tipli nőtt a fején."
tipográfia,2,Nyomdászat.,fn,"*t,*ja","A tipográfiában is jelentős változást hozott a számítógép.,Valamilyen kiadványban alkalmazott nyomdai előírások összessége.,Szép a könyv tipográfiája: nem zsúfoltak az oldalak és elegáns a betűtípus."
tipor,4,Kíméletlenül tapos valamin vagy valamit.,ige,~ni,"A lovak embereken tiportak.,(régi) Ellenség tiporja a hon szent földjét., Sárba vagy lábbal tipor valamit : tiszteletre, megbecsülésre méltó, tiszteletben tartandó dolgot kihívó, fölényes módon semmibe vesz, durván megsért.,Sárba tiporták a becsületét.,Lábbal tiporja a törvényt."
tipp,4,"(bizalmas) Valaminek, különösen lóversenynek, szerencsejátéknak vagy sportmérkőzésnek várható eredményére vonatkozó föltevés, elgondolás.",fn,"~ek,~et,~je","Mi a tipped a holnapi meccsre, mi lesz az eredmény?,A múlt heti tippjeimmel csak egy találatom lett a lottón.,Ötlet.,Nincs valami jó tipped, hová menjünk vacsorázni?"
típus,5,"Valamely csoport közös jellemzőit képviselő mintakép, illetve az ezt megtestesítő egyed.",fn,"~ok,~t,~a","Nem szeretem azt a típust, aki mindig a társaság középpontja akar lenni.,Szőke és kék szemű, germán típus játssza a film női főszerepét.,Szabvány szerint készült (tömeges) gyártmány.,Ez a kocsi a legújabb típus."
tiszafa,2,"Igen hosszú életű, lapos tűlevelű örökzöld fa vagy cserje.",fn,,"A tiszafa minden része mérgező, kivéve bogyószerű termésének élénkpiros húsát.,Tiszafából értékes bútorokat készítenek.,A tiszafák közül a közönséges tiszafa a Bükk és a Bakony bükköseiben őshonos."
tiszavirág,2,Kérészféle rovar.,fn,,"A tiszavirág kifejlett alakjában csak egy-két óráig él.,Amikor nyáron nagy tömegben rajzanak a Tisza fölött a tiszavirágok, azt mondják: „virágzik a folyó”."
tiszavirág-életű,1,"(választékos) Nagyon rövid ideig létező, élő, ható.",mn,"~ek,~t",Szerelmük tiszavirág-életűnek bizonyult.
tiszt,5,Fegyveres testület magasabb rendfokozatú tagja.,fn,"~ek,~et,~e,vagy,~je","A tisztek külön étkeznek.,(régi) Alacsonyabb beosztású postai vagy vasúti tisztviselő.,A nagyapja műszaki tiszt volt a vasútnál.,Sakkban bármelyik figura a gyalogon kívül.,Kaszparov a végjátékban tisztet áldozott.,Tisztség, hivatali beosztás.,Az eset után az alelnököt felmentették tisztéből."
tiszta,5,"Olyan, amiben vagy amin nincs piszok, szennyeződés.",mn,"*k,*t,*n","Vegyél tiszta zoknit!,A macska tiszta állat, nem tűri meg magán a piszkot.,Valamely vallás szertartásainak, előírásainak megfelelő.,Tiszta ez az étel?,Idegen anyagot nem tartalmazó.,„Az én szép hajóm elsüllyedt a tízezer mérő tiszta búzával!” (Jókai M.: Az arany ember).,Ez a nyaklánc tiszta arany?,Zavaró tényezőktől mentes.,Gyönyörű, tiszta hangon énekel.,Tiszta az idő, kirándulhatnánk egyet!,A csatár tiszta helyzetben a kapu fölé vágta a labdát.,Tiszta ügy lesz, ne izgulj.,Ez már tiszta beszéd!,Ehhez tiszta fej kell.,(választékos) Erkölcsileg feddhetetlen.,Ez az ember igazán tiszta jellem.,Fajtatiszta.,Ez a kutya tiszta magyar vizsla.,Üres (főként papírlap).,Elővett egy tiszta papírlapot, és írni kezdte a levelet., Tiszta lappal : a valakire nézve negatív, kellemetlen előzményeket figyelmen kívül hagyva.,Új munkahelyén tiszta lappal kezdhet.,A levonások vagy csomagolás nélküli (összeg, súly).,Mennyi lesz ebből a tiszta jövedelem?,Tiszta tömeg: 100 g.,(Fokozásként:) Merő, csupa.,Tiszta hülye vagyok!,Ez tiszta zagyvaság, semmi értelme.,Eláztam, tiszta víz vagyok., Tiszta valaki : teljesen olyan, mint ő. Tiszta apja ez a gyerek!"
tiszta,4,Tiszta ruha.,fn,"*k,*t,*ja","Lefürdöm, tisztát veszek, és indulhatunk is!, Tisztába tesz valakit : (csecsemőt, kisgyereket) tiszta pelenkába tesz.,Tisztába tette, majd megetette a kicsit.,(Kifejezésekben:)  Tisztában van valamivel : jól ismeri, átlátja.,Tisztában vagyok a helyzettel, tudom, mit kell tenni.,| Tisztába jön valakivel : kiismeri.,Végre tisztába jöttem veled, most már tudom, hányadán állunk.,| Tisztába tesz valamit : elintézi, a végére jár.,Ideje az ügyet tisztába tenni!,(ritka) Valaminek a tiszta része.,Ide írd a telefonszámot az újság tisztájára!"
tisztás,4,Fákkal körülvett kisebb füves térség.,fn,"~ok,~t,~a",Pihenjünk meg ezen a kis tisztáson!
tisztátalan,3,"(választékos) Romlott, erkölcstelen.",mn,"~ok,~t,~ul","Távozz innen, tisztátalan asszony!,Tisztátalan vágyai vannak.,Mohamedán és zsidó vallási szempontból nem tiszta.,A zsidó vallás tisztátalannak tekinti a sertést, ezért tiltja húsának fogyasztását.,Tisztátalan emberekkel nem szívesen érintkeznek.,(Főnévi használatban:) Tisztátalan személy.,Tisztátalanok ide nem léphetnek be.,(ritka) Piszkos, mosatlan.,Tisztátalan edényekkel van tele a konyhája."
tisztáz,5,(Fogalmazványt) végleges formában leír.,ige,~ni,"A levelet tisztázza.,Épp a dolgozatot tisztáztam, amikor kicsöngettek.,Varráskor az anyag nyitott széleit levarrja, hogy ne rojtolódjék.,Kész a blúz, már csak tisztázom.,(Helyzetet, ügyet) összefüggéseiben megvilágít, érthetővé tesz.,Igyekezett tisztázni a helyzetet a kollégái előtt.,(Függőben levő, bonyolult ügyet, adósságot) rendez.,Adósságait már tisztázta.,Ideje tisztázni ezt az ügyet!,Bebizonyítja valakiről, hogy nem vétkes, nem bűnös.,Megpróbálom tisztázni őt a szülei előtt.,Még időben tisztázta magát a vád alól.,A gólveszélyt elhárítja.,A középhátvéd szépen tisztázott."
tisztel,5,"Nagyra becsül valamit, valakit.",ige,~ni,"Tisztelem a kitartását.,Nagyon tisztellek azért, amit a barátodért tettél.,Tekintélyét elismeri, aláveti magát neki.,Tiszteld szüleidet!,Nem tiszteli a törvényt.,Kímél, nem sért valakit, valamit.,Tisztelem az ön nézeteit, de nem értek velük egyet.,Tisztellek, de nem szeretlek.,(régi) Vendégként üdvözöl valakit.,Örülök, hogy házamban tisztelhetem.,(választékos) Rangjának, állásának megfelelően szólít valakit.,Kit tisztelhetek az úrban?"
tiszteleg,4,(Egyenruhás személy) kezével vagy fegyverével tett előírásos mozdulattal köszön.,ige,~ni,"A katona elöljárójának sapkához emelt kézzel tiszteleg.,Szakasz, vigyázz!,Fegyverrel tisztelegj!,(Polgári személy) tiszteletadás jeléül egyenesen áll.,Az ünnepségen a diákok tisztelegtek a Himnusz hallatán.,(választékos) Tiszteletadásra megjelenik valakinél vagy valahol.,Csupán tisztelegni jöttem kedves bátyámhoz."
tisztelendő,3,(ritka) (Erkölcsi) értékénél fogva tiszteletet érdemlő.,mn,"~k,~t,~n,vagy,~en","Tisztelendő őszinteséggel beszélt gondjairól.,(Katolikus pap és apáca megszólításában, megnevezésében:) Az apácákat tisztelendő nővérnek, a katolikus papokat tisztelendő úrnak szólítják."
tisztelendő,3,(kissé bizalmas) Katolikus pap.,fn,"~k,~t,~je",A tisztelendőt haldoklóhoz hívták.
tisztelet,5,"Valaki, valami jelentőségének, érdemének az elismerése, megbecsülése.",fn,"~et,~e","Illő tisztelettel viseltetik az idősebbek iránt.,Műveltsége tiszteletet ébreszt., Tiszteletben tart valamit : nem sérti meg.,Tiszteletben tartják az emberi jogokat.,| Tisztelet a kivételnek : nem mindenkire vonatkozik.,Tisztelet a kivételnek, de nem tanultok rendesen.,(Udvariassági kifejezésekben, levél zárásakor, aláírás előtt:) Tisztelettel: Kovács János.,(választékos) Megkülönböztetett tisztelettel zárom soraimat… (Idősebb férfit, magasabb rangú személyt illető köszöntésként:) Tiszteletem, Józsi bátyám!,Tiszteletem, professzor úr!,(Távollevők tiszteletteljes üdvözléseként:) Tiszteletem a kedves szüleidnek."
tiszteletbeli,4,"Megtiszteltetésként adományozott, hatáskörrel, fizetéssel nem járó (cím, rang).",mn,"~ek,~t","A testület tiszteletbeli tagjának választotta az idős professzort.,A gyűlésen megjelent a társaság tiszteletbeli elnöke is."
tiszteletdíj,3,"Szellemi munkáért, teljesítményért járó összeg.",fn,,"A fordítói tiszteletdíjat postán küldték el.,A szerzői tiszteletdíj nagyon kicsi összeg."
tiszteletes,3,"(Református teológus és segédlelkész címeként:) Tiszteletes Szűcs Gáspár úrnak, Pápa.",mn,"~ek,~t","(Református segédlelkészek és feleségük megszólításaként, megjelöléseként:) (A) tiszteletes úr nem tart velünk?,A tiszteletes asszony is ott volt.,(régi, választékos) Tiszteletet keltő.,Tiszteletes gyász az övék."
tiszteletes,3,(kissé bizalmas) Református pap.,fn,"~ek,~t,~e",A tiszteletes felolvasta a zsoltárt.
tiszteletlen,3,"Valaki, valami iránt a kellő vagy illő tiszteletet nem érző, illetve tanúsító (személy, viselkedés, megnyilatkozás).",mn,"~ek,~t,~ül","Ne légy tiszteletlen az öregúrral szemben!,Nem tűröm ezt a tiszteletlen beszédet!"
tisztes,4,(választékos) Tiszteletet érdemlő.,mn,"~ek,~t,vagy,~et,~en","Botra támaszkodva egy tisztes aggastyán közeledik.,Tisztes családapaként emlegették.,Tisztes öregkort ért meg.,Illő, kellő.,Tisztes távolságban tartja magát az eseményektől.,Tisztes árat kapott a lakásért.,Tisztes haszonnal dolgozik."
tisztes,2,"A honvéd és az őrmester közötti rendfokozatok (őrvezető, tizedes, szakaszvezető) egyike.",fn,"~ek,~t,~e",A tisztesek többnyire sorállományúak.
tisztesség,4,(választékos) Valakinek megbecsült volta.,fn,"~et,~e","Tisztességben őszült meg.,(régi) Tiszteletet keltő helyzet, tisztség.,Nagy tisztességre jutott.,Megtiszteltetés.,Ez nagy tisztesség rám nézve., Végső tisztesség : a temetési szertartás kellő ünnepélyessége.,Becsületesség.,Tisztességből megteszem.,Illő magatartás.,Majd én tisztességre tanítalak!"
tisztít,4,Szennyező anyag eltávolításával valamit tisztává tesz.,ige,~ani,"Az ablaküveget újságpapírral tisztítja.,Cipőt tisztít egy aluljáróban.,(Élelmiszert) fogyasztásra alkalmatlan részeitől megfoszt.,A húsleveshez sárgarépát tisztít.,(Anyag, vegyszer valamilyen szennyet) eltávolít.,A benzin jól tisztítja a zsírfoltot."
tisztító,3,"Olyan, aki vagy ami tisztít.","mn,mn-i,in","~k,~t","Az ablakot tisztító munkás leesett a létráról.,A tisztító zápor legalább egy óráig tartott."
tisztító,3,"Az a hely, ahol valamit tisztítanak.",fn,"~k,~t,~ja","Beadtam a függönyöket a tisztítóba.,Az a szer, eszköz, amellyel valamit tisztítanak.,A tisztító sem viszi ki ezt a pecsétet a nadrágból.,(régi) Hashajtó.,Kapott a beteg tisztítót?"
tisztítótűz,2,"Az a hely, ahol a halott lelke bocsánatos bűneitől megtisztul.",fn,,"Dante Isteni színjátékának második része a tisztítótűzben vagy purgatóriumban játszódik.,A lelki erőt edző megpróbáltatás.,A háború tisztítótüzében edződött meg a jelleme."
tisztogatás,4,"Az a cselekvés, hogy valamit hosszabb ideig tisztítanak.",fn,"~ok,~t,~a","Az evőeszközök tisztogatása most ráér, inkább mosogass el!,A megbízhatatlan vagy annak tartott személyek (erőszakos) eltávolítása.,A sztálini tisztogatásoknak több százezer ember esett áldozatul.,Befejeződött a tisztogatás, az utolsó ellenálló katonát is lefegyverezték."
tisztség,4,"(Vezető) hivatali beosztás, megbízatás, feladatkör.",fn,"~ek,~et,~e","A párt elnöke lemondott tisztségéről.,Gondolkodás nélkül elfogadta a fölajánlott tisztséget.,Ideiglenes feladatkör.,A házigazda tisztsége többek között az, hogy fogadja a vendégeket."
tisztújítás,3,Valamely szervezet (új) vezetőségének megválasztása.,fn,"~ok,~t,~a","A közgyűlés határozott a tisztújításról.,Önkormányzati tisztújítást négyévenként tartanak."
tisztul,3,Folyamatosan tisztábbá válik.,ige,~ni,"Tisztul az ég, meglátod, hamarosan kisüt a nap.,Tisztul a bor, lehúzódik benne a seprő.,A szemcseppektől már tisztul a beteg szeme.,(népi, rosszalló) Takarodik valahonnan.,Tisztulj innen, látni sem bírlak!"
tisztviselő,4,Hivatalt betöltő fizetett alkalmazott.,fn,"~k,~t,~je",Az öccse tisztviselő a minisztériumban.
titán,1,"A görög mitológiában Uranosznak, az ég istenének és Gaiának, a föld istennőjének hat fia és hat lánya közül az egyik.",fn,"~ok,~t,~ja","Zeusz apja a legfiatalabb titán, Kronosz volt.,(választékos) Szellemóriás.,Eulert nevezhetjük a matematika titánjának., (kissé rosszalló) Ifjú titán : (túlzottan) magabiztos, tekintélyt nem ismerő fiatalember.,Ki az az ifjú titán, aki az imént ellent mert mondani nekem?"
titán,1,"Rendkívül kemény, acélszürke fém.",fn,"~t,~ja",A titánt és ötvözeteit gyakran használják az űrhajózásban.
titeket,3,A ti névmás tárgyként használt alakja.,nm,,"Titeket nem kérdeztelek!,Titeket keres az egész tábor!"
titkár,5,Elfoglalt (vezető állású) embernek személyi ügyeit intéző alkalmazottja.,fn,"~ok,~t,~a,vagy,~ja","Az igazgató úr nagyon elfoglalt ember, ezért levelezését a titkár intézi.,Beszéljen meg egy időpontot a személyi titkárommal!,Intézmény, egyesület ügyeit intéző személy.,A gyűlésen megválasztották az új elnököt, alelnököket és titkárt.,(Tisztviselői címként:) A miniszteri titkárt is leváltották.,(Diplomáciai beosztásként:) Franciaországban volt követségi titkár., (régi) A párt első titkára : a kommunista párt vezetője.,Rákosi 1953 júniusától volt a párt első titkára."
titkárnő,4,Titkári állást betöltő női alkalmazott.,fn,,"A titkárnőnek nemcsak ügyesnek kell lennie, előny, ha csinos is."
titkol,5,Titokban tart valamit.,ige,~ni,"Te valamit titkolsz előttem!,Igyekszik titkolni az érzéseit."
titkos,5,Csak a beavatottaktól ismert.,mn,"~ak,~at,~an","A kastélyból titkos alagút vezet ki a kertbe.,A megkötött szerződésnek volt egy titkos záradéka, melyet nem hoztak nyilvánosságra.,Titokban, rejtve működő (szerkezet).,Titkos lehallgatókészüléket találtak a párt székházában.,Valamilyen minőségében ismeretlenül maradó (személy).,A titkos hódoló rózsacsokrot küldött imádottjának.,Név nélküli, nyilvánosságra nem kerülő.,Az elnök személyéről titkos szavazással döntenek., (régi) Titkos tanácsos : 1945 előtt kitüntetésként adományozott cím.,Dédapja belső titkos tanácsos volt."
titkosírás,1,"Titkos jelentésű betűkből, számokból vagy jelekből álló, csak megfejtési kulccsal olvasható írás.",fn,,"Titkosírással leveleztünk az órán, hogy a tanár ne értse meg, ha megtalálja.,Gilicze Gábor megfejtette Gárdonyi Géza titkosírását."
titkosszolgálat,4,Kémszervezet.,fn,,"A titkosszolgálat ügynökei beépültek a mozgalomba.,Senki sem szerezhetett tudomást arról, hogy a titkosszolgálatnak dolgozik."
titok,5,"Mások elől rejtett, elhallgatott tény.",fn,,"Hétpecsétes titok, erről az égvilágon senki nem tudhat!,Az Unicum receptje szakmai titok.,Titokban : úgy, hogy mások ne tudják meg.,A szerelmesek titokban találkoznak.,Megmagyarázhatatlan vagy annak tűnő rejtély.,Tudósok kutatják az emberi agy titkait.,Valaminek ismeretlen vagy csak kevesektől ismert magyarázata.,Mi a hosszú élet titka?,Áruld el, mi a titka a szépségednek?"
titokzatos,4,"Rejtett oka vagy összefüggései miatt érthetetlennek látszó (cselekmény, esemény).",mn,"~ak,~at,~an","Emlékszik arra a titokzatos gyilkosságra, amelyet azóta sem sikerült kideríteni?,Ismeretlen volta miatt titkot sejtető (személy).,Az eset után a titokzatos ismeretlen eltűnt a környékről.,Titkolódzást tükröző (arckifejezés, megnyilvánulás).,Miért vágsz olyan titokzatos képet?,Titokzatos mosoly ült az arcán."
titulál,3,(régi) Valakit rangjának megfelelően szólít.,ige,~ni,"Tekintetes úrnak titulálták a beosztottai.,(gúnyos) Valaminek nevez valakit.,Veszekedés közben ökörnek titulálta."
tivornya,1,"(választékos, rosszalló) Dorbézolás.",fn,"*k,*t,*ja",A részeg zsoldosok vad tivornyába kezdtek.
tíz,5,Kilencnél eggyel több.,tőszn,,"Tíz embert hívtam vacsorára.,(bizalmas) Ennyi pénzegység.,Tízből kérek vissza.,(bizalmas) Ennyi éves.,Januárban múlt tíz.,(bizalmas) Ennyi óra vagy perc.,Tízre beszéltük meg a találkozót.,A vonat hét tízkor érkezik.,(bizalmas) A tízes számú ház vagy ajtó.,A Kossuth utca tízben lakik.,Éktelen ricsaj hallatszik az első emelet tízből.,(bizalmas) Tizedike.,Február tízig itthon vagyok."
tized,4,Az egésznek tíz egyenlő része közül egy.,törtszn,,"A torta tizede a tiéd.,Az a (matematikai) mennyiség, amit az egynek tízzel való osztásakor eredményül kapunk.,Egy tized meg egy tized az két tized.,Három egész hét tized lett az átlaga."
tized,3,(régi) A termény tizedrésze mint adó vagy munkadíj.,fn,"~ek,~et,~e",Régen a paraszttól tizedet is szedtek.
tizedel,2,(ritka) Megtorlásul minden tizedik embert kivégeztet.,ige,~ni,"A parancsnok tizedelt a foglyok között.,(Élőlények között) nagy pusztítást végez.,Farkas tizedeli a nyájat.,Pestis tizedelte a lakosságot."
tizedes,2,Az őrvezető után következő legénységi rendfokozatú katona.,fn,"~ek,~t,~e",A tizedesek két „krumplivirágot” – fehér csontcsillagot – viselnek a hajtókájukon.
tizenegyes,3,"Tizenegyes szám : tizenegy egységet tartalmazó szám, illetve ennek írott jele (11).",mn,"~ek,~t","A tizenegyes számot is kihúzták a lottón.,Ezzel jelölt vagy ilyen méretű.,Megáll itt a tizenegyes villamos?,Adj egy tizenegyes csavart légy szíves!,(régi, bizalmas) Dédapám a tizenegyes huszároknál szolgált.,(bizalmas) Tizenegy órakor induló, érkező, kezdődő.,Befutott már a tizenegyes vonat?,Azt hiszem, már nem érek be a tizenegyes előadásra."
tizenegyes,3,"A tizenegyes szám, illetve ennek jele (11).",fn,"~ek,~t,~e","Ikszeld be a tizenegyest is!,(bizalmas) Ezzel a számmal jelölt személy, dolog.,Kérem a tizenegyest a pénztárhoz!,Hozd ide a tizenegyest!,(Labdarúgásban) 11 m-ről végzett büntetőrúgás.,A kapus kivédte a tizenegyest."
tizenéves,3,"Húsz év alatti, de tíz évnél idősebb korú.",mn,"~ek,~t,~en","Egy tizenéves lány már nem gyerek.,(tréfás) Eladtam a tizenéves Ladámat.,(Főnévi használatban:) A tizenévesek zenéjétől az idősebbeknek égnek áll a hajuk."
tizenhatos,2,A labdarúgó kapu előtti büntetőterületet határoló vonal.,fn,"~t,~a",Szabadrúgás következik a tizenhatosról.
