word,frequency,word_class,word_endings,example_sentences
utász,2,fn,ok t a,"Hidak, utak stb. építésére kiképzett műszaki alakulathoz tartozó katona. Az utászok hidat vernek a folyón. zászlóaljhoz osztották be."
utaz|ik,5,ige,ni,"(Járművön) nagyobb utat tesz. Trolibusszal utazom a munkahelyemre. A Szaharában inkább csak teveháton lehet utazni. Szatmárba utazik a rokonokhoz. Utazik valamiben : foglalkozik valamivel. Most miben utazol? Évek óta használtautó-kereskedésben utazik. Utazik valakire kellemetlenkedik valakinek. Utazik rám a matektanár. Utazik valamire : meg akarja szerezni. Lányom, az a fiú csak a lakásodra utazik."
utazó,4,fn,k t ja,"Az, aki valahova utazik, utas. Az utazók menetjegyét a kalauz ellenőrzi. A Balatonhoz utazó nyaralók dugig megtöltötték a vonatot. (régi) Ügynök. Kereskedelmi utazóként dolgozik. Afrikának jó néhány ismeretlen vidékét magyar utazók járták be először."
utca,5,fn,,"Házsorok közötti (keskenyebb) útvonal. Órákig ődöngött a belváros szűk, zegzugos utcáin. A huszárok utcát vágtak a Utcán át (árusít) nem helybeni fogyasztásra, hanem elvitelre. Ez a gyorsbüfé csak az utcán át árusít. (Kifejezésekben:) Az utcára teszik lakásából kilakoltatják. Három kicsi gyermekével az utcára tették. munkahelyéről Húsz év munkaviszony után most az utcára tették. Az utcára kerül elveszti az állását. Nem mer vitatkozni a főnökével, fél, hogy az utcára kerül. (nő) elzüllik. Mikor elhagyta a férje, az utcára került."
útelágazás,2,fn,ok t a,Út két vagy több ágra való szétválása. Melyik turistajelzésen induljunk el az útelágazásnál?
úti,4,mn,k ak t,Utazással kapcsolatos. Úti okmányok nélkül nem indulhatsz hosszabb útra. Egész este ausztráliai úti élményeiről mesélt. Az úton található. Úti por lepte be a cipőjét.
útikalauz,3,fn,,"Az útikalauzt becsomagoltad? Az az ember, aki az úton vezet, kalauzol. Az útikalauz nélkül nem lehet felmászni"
útikönyv,3,fn,,"Olyan könyv, amely leírja valamely terület nevezetességeit, látnivalóit. Ha idegen tájakat akarsz felkeresni, vigyél magaddal"
útján,5,nu,,"Valakinek, valaminek a közreműködésével, közvetítésével. A szomszédok útján értesült az esetről. Az AIDS főleg vér útján Valamilyen eljárással. Árverés útján jutott a festményhez. Apróhirdetés útján találkoztak, így ismerkedtek meg."
útlevél,5,fn,,Külföldi utazásra jogosító fényképes okmány. Az országhatár átlépésekor általában fel kell mutatni az útlevelet.
útmutatás,4,fn,ok t a,A követendő eljárás megmutatása. A szerelő útmutatása szerint használjuk mostantól a mosogatógépet.
utóbb,5,hsz,,"középfokú hsz Utóbb kiderült, hogy igaza volt. Előbb vagy utóbb pórul jár. (népi) Végül. Még utóbb ő fog ránk haragudni, pedig ő sértett meg minket."
utód,5,fn,ok ot a ja,(Közvetlen) leszármazott. Mátyás királynak nem volt törvényes utóda. Valakit valamilyen tisztségben követő személy. Még életében kijelölte utódját. : a későbbi nemzedék vagy nemzedékek. Az utódok elherdálták az örökséget.
utódlás,2,fn,ok t a,"Az a tény, hogy valaki birtoklásban utódként követ valakit. A király halála után nagy harc tört ki az utódlás körül. tény, hogy valaki tisztségben utódként követ valakit. Az igazgató utódlásáról még nem tudni semmi bizonyosat."
utóirat,2,fn,,"A levél befejezése után hozzátoldott rövid közlemény. Az aláírással még nincs vége a levélnek, van itt alul egy utóirat is."
utókor,4,fn,,"Későbbi kor vagy korok. Az épületből semmi nem maradt az utókorra. Későbbi nemzedék. Az utókor többre értékelte munkásságát, mint kortársai."
utólag,4,hsz,,Amikor az események már lezajlottak. Utólag könnyű okosnak lenni.
utolér,4,ige,ni,"(Hátul levő személy, dolog) eléri az előtte levőt. Siessünk, mindjárt utolérnek bennünket! Hiába igyekezett, utolérte az északról érkező eső. (Jelenség, állapot) elér valakit. Hiába szedett vitamint, mégis utolérte az influenza. A Pillangókisasszony című operában utolérte az átok a japán gésát, aki elhagyta ősei hitét. Valakivel, valamivel azonos szintre jut. gépkocsigyártásban Japán utolérte az Egyesült Államokat, sőt le is hagyta."
utoljára,5,hsz,,"Utolsónak, utolsóként. A legérdekesebbet hagytam utoljára. Mindenki itt van már, megint utoljára érkeztünk. Karácsony előtt beszéltem vele utoljára. Utoljára kérdezem, többször nem! Sokáig tanakodtak, utoljára mégiscsak megmaradtak az eredeti elgondolás mellett. (ritka) Végtére. Meglátjátok, utoljára még neki lesz igaza! Utoljára is hogy kerül maga ide?"
utolsó,5,mn,k t,"(Térben:) Valaminek a túlsó szélén, végén levő. A saroktól az utolsó házban lakik. (Időben:) Legkésőbbi, legvégső. utolsó alkalom. Ő az utolsó gyermek a családban. Ezek voltak az utolsó szavai, mielőtt meghalt. A vádlott az ítélet kihirdetése előtt él az utolsó szó jogával. Ez az utolsó szavam, elhatározásom végleges. Olyan, ami, aki utoljára megmaradt. szivart is elővette a dobozból. Az utolsó mohikán. Kiitta az utolsó cseppig. Valamiben mindenki más után következő. osztályban én vagyok az utolsó matekos. „Az utolsó hajdú vagyok Hajdú vármegyében” (Főnévi használatban:)"
útonálló,5,fn,k t ja,"Az a bűnöző, aki a feltartóztatott utasokat rabolja ki. Az erdőben útonállók támadták meg, és mindenét elvették."
utónév,3,fn,,"fn (hivatalos) A családnevet követő, a gyermek születésekor választott tulajdonnév. Vezetékneve Réz, utóneve Jeromos."
úton-útfélen,2,hsz,,"Úton-útfélen terjeszti a pletykát, már az egész ház tud róla."
utóvizsga,2,fn,,"Egyetemen, főiskolán a vizsgaidőszak után letett (javító)vizsga. Sajnos, az utóvizsgája sem sikerült, félévet kell ismételnie."
útravaló,3,fn,k t ja,"Fiacskám, csomagoltam neked egy kis útravalót a kirándulásra. (ritka) Útiköltség. Itt egy ezres útravalónak. (választékos) Emlék. Elutazásom előtt ezt a gyűrűt adta útravalóul."
útszéli,3,mn,ek t n en,"Út szélén levő, növő. Az útszéli gyom úgy megnőtt, hogy már kaszálni kell. (választékos) Durva, közönséges. hangnemet használt nyilatkozatában."
úttest,4,fn,,"Közlekedés céljából, rendszerint kőből vagy aszfaltból épített, egyenletes szélességű sáv, illetve ennek az a része, amelyen a járművek haladnak. Az úttest mindkét oldalán volt elkülönítve bicikliút. Az úttesten lehetőleg a zebrán menj át!"
úttörő i.,4,mn,k t,"Újszerűségével példát mutató, a későbbi fejlődést elősegítő. Úttörő kezdeményezése nagy sikert aratott."
úttörő ii.,4,fn,k t je,"(választékos) Valaminek az úttörője : előfutára, illetve élenjáró kutatója. Franz Mesmer, német származású, de Párizsban praktizáló orvos volt a hipnózis egyik úttörője a XVIII. század végén. (kissé régi) A szovjet mintára 1946-ban alapított úttörőmozgalom 10–14 éves tagja. A piros nyakkendős úttörők Csillebércen táboroztak."
útvesztő,3,fn,k t je,"Bonyolult, föld alatti úthálózat. A görög monda szerint Thészeusz Ariadné fonalának segítségével jutott ki Minótaurosz útvesztőjéből. (választékos) Áttekinthetetlenül bonyolult szövevény. A bürokrácia útvesztőjében elvesztek a kérvények."
uzsgyi,1,msz,,"(Futásra, menekülésre való felszólítás:) Uzsgyi, szedd a lábad! (Elbeszélésben a futás érzékeltetésére:) Uzsgyi, szaladt is nyomban hazafelé."
uzsonna,3,fn,ja,"Ebéd és vacsora közti kisebb étkezés. Uzsonnára vagyok hivatalos, teázni fogunk a barátnőimmel. Rendszerint délutáni étkezésül vagy iskolai tízóraiként készített ennivaló. Meghagyta az uzsonnáját, én ettem meg vacsorára."
uzsora,2,fn,,"Aránytalanul, jogtalanul nagy anyagi ellenszolgáltatás, különösen kamat követelése. Ekkora kamatot kérni, ez már nem kölcsönzés, hanem uzsora! Ily módon szerzett jogtalan haszon. Uzsorából szedte meg magát."
uzsorás,1,fn,ok t a,"Uzsorakölcsönöket adó, ebből élő vagy ebből meggazdagodó személy. Vén uzsorás a főhőse Moličre Fösvény című"
ücsörög,2,ige,ni,(Tétlenül) üldögél. A szalonnasütés után még órákig ücsörögtünk a hamvadó parázs mellett.
üde,4,mn,,"(választékos) Fiatalságot, egészséget tükröző (testrész). Üde, pirospozsgás gyermekarcot ábrázolt a festmény. Üde bőrén még nem jelentek Nedvdús, zöldellő (növény). Az üde növényzet kellemesen párás levegőt biztosított a szobában. Alakítása üde színfoltja volt az előadásnak. Üde mosoly ült az arcán. Frissítő hatású. Az üde forrásvíz és az üde hegyi levegő felpezsdíti a turistákat."
üdít,2,ige,eni,"Üdévé, élénkké tesz valakit. A friss szellő üdíti a forróságtól ellankadt embert."
üdítő i.,3,mn,k ek t n en,"Testileg, lelkileg élénkítő hatású. Minden felfrissült az üdítő esőtől. A hideg tea üdítő ital. Szellemileg pihentető, szórakoztató. Ez a könyv üdítő olvasmány, jó kedvem lett tőle. Üdítő volt végre egy vígjátékot megnézni a sok akciófilm után."
üdítő ii.,4,fn,k t je,"Alkoholmentes, gyakran gyümölcsből készült szénsavas vagy szénsavmentes (hideg) ital. Milyen üdítőt kértek? Kedvenc üdítőm a baracklé."
üdül,3,ige,ni,"Hosszabb időt (legalább egy hetet) lakóhelyétől távol pihenéssel, szórakozással tölt. Hová mentek üdülni? Nyáron a Balatonnál, télen a Mátrában üdülünk. (régi) Hosszabb betegség után lábadozik. Betegsége után a hegyekbe küldték üdülni."
üdülő,3,fn,k t je,"Üdülés céljára létesített intézmény. A szakszervezeti üdülőből szálloda lett. A Tudományos Akadémiának Balatonon és a Mátrában is van üdülője, ahol a dolgozók beutalóval minden évben két hetet kedvező áron üdülhetnek. Az ebben üdülő Mikor érkeznek az üdülők? Az üdülők az ügyeletes portástól kapták meg a szobakulcsokat."
üdv,5,fn,ök öt e,"(választékos) Imádkozik a halott lelki üdvéért. Jólét, boldogulás. Emelem poharam mindnyájunk üdvére. (régi) Üdvözlet. Üdv neked, Caesar! Üdv az uraknak, csók a hölgyeknek!"
üdvhadsereg,1,fn,,"Katonás szervezettségű, vallási alapokon működő jótékonysági intézmény. Az üdvhadsereg katonái ma már hazánkban is működtetnek hajléktalanszállásokat és ingyenkonyhákat."
üdvös,4,mn,ek et en,"~ek, ~et, ~en (választékos) Hasznos, ajánlatos. Üdvös dolog betartani ezeket a jogszabályokat. Üdvös lenne, ha elmosogatnál."
üdvöske,2,fn,,"Dédelgetett kedvenc. A család üdvöskéje Zsófi, a legkisebb lány. Valamely közösség tehetséges, fiatal (női) tagja. társulat üdvöskéje ez az ifjú színésznő. A csapat üdvöskéje a világbajnoki címre is esélyes."
üdvösség,4,fn,et e,"Túlvilági boldogság. A katolikus egyház tanítása szerint az igaz ember elnyeri az üdvösséget. (választékos) Nagyfokú Az a nő volt az üdvössége, elvesztése végtelen bánatot okozott neki."
üdvözít,2,ige,eni,(választékos) Az üdvösségbe juttat. A kereszténység tanítása szerint a hit üdvözít. Boldoggá tesz. A pénz nem üdvözít.
üdvözítő i.,3,mn,ek t en,"mn (mn-i in is) (választékos) Ami üdvözít, illetve nagyon boldoggá tesz. Az üdvözítő anyaszentegyház a kebelébe fogadta. A házasulandók kimondták az üdvözítő igent."
üdvözítő ii.,3,fn,t je,"(Vallásos szóhasználatban, tulajdonnévszerűen:) Jézus Krisztus. Az Üdvözítőhöz imádkozik."
üdvözlet,4,fn,ek et e,"Üdvözlő szavakból álló üzenet. Üdvözletet hoztam egy ismerőstől. (Levél végén:) Szívélyes üdvözlettel. Angyali üdvözlet Bibliában:) Gábor arkangyal látogatása Szűz Máriánál. Sok reneszánsz festő megfestette az angyali üdvözletet, többek közt Leonardo da Vinci is."
üdvözöl,5,ige,ni,"(kissé választékos) Köszönt valakit vagy köszöntését üzeni, küldi. Kézcsókkal üdvözölte a hölgyeket. A sógorom üdvözli házasságkötése alkalmával. Üdvözlöm az egész családot. (Levél végén:) Szeretettel üdvözöl Piri néni. Egyetértéssel fogad valamit. kormány üdvözölte a javaslatot, amit hazánk miniszterelnöke tett a tárgyaláson."
üdvözül,3,ige,ni,"Elnyeri az üdvösséget. Jézus mondja: aki hisz, üdvözül. (régi) Rendkívüli boldogságot érez. Annyira szereti, hogy már egy pillantásától is üdvözül."
üget,3,ige,ni,"(Rendszerint ló) átlós lábait egyszerre emelve gyorsan, de nem vágtatva halad. Az egyik ló üget, a másik csak poroszkál. (bizalmas) (Személy) kitartóan siet. Ügess, fiam, az újságért!"
ügető,2,fn,k t je,"Ügetésre idomított ló. Van két hátaslovam és egy ügetőm. (bizalmas) Ügetőverseny, illetve -pálya. Gyakran jár az"
ügy,5,fn,ek et e,"(Intézkedést kívánó) helyzet, dolog. Személyes ügyben kereslek. Ne avatkozz mások ügyeibe! Zavaros ügyei vannak. Eldöntendő jogi kérdés. Milyen ügyet tárgyal ma a bíróság? Peres ügy lett a vitából. Hivatalos tennivaló. cégnél az ügyeket? Folyó ügyeket intézek. Igaz ügyért harcol. A keze ügyében, : ott, illetve oda, ahol könnyen eléri. Mindig a keze ügyében tartja az ollót. Rakd a kezem ügyébe a csavarhúzót! Ügyet sem vet : nem figyel rá. Ügyet sem vetett az őt ért vádakra. Ügyet se vess erre a bugrisra!"
ügyefogyott,2,mn,ak at an,"~ak, ~at, ~an Gyámoltalan (személy). Ne légy már olyan ügyefogyott, bátran jelentkezz a pályázatra! Ügyefogyott mentegetőzésével csak rontott helyzetén. (Főnévi használatban:) Az ügyefogyottat segítsd, ne a nagyszájút! Nem egészen normális. A falu bolondja egy ügyefogyott, sánta bácsi volt."
ügyel,5,ige,ni,"(választékos) Vigyáz valakire, valamire. Ügyelj a gyerekekre, míg vissza nem jövök! Ügyeld a poggyászt! (választékos) Figyel valamire. Arra ügyelj, amit mondanak! (bizalmas) Rendszerint kórházban, iskolában ügyeletet tart. ügyel ma a sebészeten?"
ügyelet,3,fn,ek et e,Készenléti szolgálat. A nagyobb gyógyszertárakban állandó éjszakai ügyelet van. Hívd azonnal az ügyeletet! Szigorú ügyelet alatt áll. (régi) Gondoskodás. Megfelelő ügyeletben részesül.
ügyeletes,3,mn,ek t et,"Ügyeletet tartó, ügyeletben lévő (személy). Az ügyeletes orvos vizsgált meg éjjel. (Főnévi használatban:) Az ügyeletest (bizalmas, rosszalló) Éppen soron levő. Az ügyeletes zseni játszotta a főszerepet. Most ő az ügyeletes kedvenc az"
ügyelő,3,fn,k t je,(Előadóhelyen:) Az előadás technikai menetét irányító alkalmazott. A színházi ügyelő felel az előadás zavartalan lebonyolításáért.
ügyes,5,mn,ek et en,"~ek, ~et, ~en Olyan, aki gyorsan és jól végzi a feladatát. Ügyes fiú, már edzés előtt megcsinálja a leckéjét. Nahát, milyen ügyes kezed van! Ezt egy ügyes szerelő öt perc alatt megcsinálja. (rosszalló is) Ügyes fickó, mindig kimagyarázza magát. Fürge, jó mozgású. A vidra ügyesen mozog a vízben. A fiam ügyes kosárlabdázó. Ötletességre valló. Ügyes szerkezet a mosogatógép. Ez aztán ügyes munka volt!"
ügyes-bajos,1,mn,ak at,"Hivatali utánajárást igénylő (mindennapi feladat). Ügyes-bajos dolgait, például a postáját az unokája segített elintézni. (népi, régi) Ilyen ügy(ek)ben járó (személy). A városházán sok ügyes-bajos ember fordul meg."
ügyesked|ik,2,ige,ni,"Ügyesen végzi a dolgát. Te is ügyeskedj, a te hímzésed is szép lesz, ha igyekszel. A kislány az anyja körül ügyeskedik a (rosszalló) Törtetve, mások kárán, helyezkedve jut előre, jut haszonhoz. Addig ügyeskedett, míg előléptették. Addig ügyeskedik, míg bele nem bukik."
ügyességi,1,mn,ek t,"Olyan dolog, amelyhez ügyesség kell. Most ügyességi feladatok következnek. Ügyességi szám : az atlétika ugró- és dobószámai közül valamelyik. Az ötödikesek ügyességi számot mutattak be, kislabdadobást."
ügyész,4,fn,ek t e,(Büntetőeljárásban:) A vád képviselője. Az ügyész kérte a tárgyalás elnapolását. Államhatalmi vagy politikai szervnek jogi ügyeket intéző (vezető) képviselője. A párt ügyésze adta be a kérvényt.
ügyészség,3,fn,ek et e,"A törvényesség érvényesülése fölött őrködő (helyi) igazságszolgáltatási szerv, illetve ennek hivatala, épülete. problémával az ügyészségre kell menned. Ügyészi tisztség. Megpályázta az ügyészséget."
ügyetlen,4,mn,ek t ül,"Esetlen, suta. Ügyetlen táncos, olyan, mint egy mackó. Félresikerült, illetve sikertelen. Ezt az ügyetlen megoldást tudtam csak kitalálni. Ügyetlen vállalkozó, csődbe ment a cége."
ügyetlenked|ik,2,ige,ni,"Ügyetlenül cselekszik, viselkedik. Mit ügyetlenkedsz itt, te szerencsétlen! Sokat ügyetlenkedik tornaórán."
ügyfél,5,fn,,"(hivatalos) Az, aki a hivatal szolgáltatásait igénybe veszi. Az ügyfelek türelmetlenül várakoznak az iroda előtt. Cégünk levélben értesíti ügyfeleit a megbeszélés időpontjáról. (Jogi nyelvben:) A felperes és az alperes. A tárgyaláson ügyvédeikkel megjelentek az ügyfelek."
üggyel-bajjal,2,hsz,,üggyel-bajjal Sok erőfeszítés árán. Nagy üggyel-bajjal sikerült végre kimásznia a veremből.
ügyköd|ik,1,ige,ni,"Valamely (hivatali) munkát buzgólkodva, fontoskodva végez. Ezen a pályázaton ügyködik már két hete. hol dolgozol, mivel foglalkozol?"
ügylet,4,fn,ek et e,"Kereskedelmi, illetve pénzügyi művelet. Cégünk több száz milliós ügyletet bonyolít le egy dél-koreai vállalattal. A tőzsdei ügyleteit brókerrel intézteti. Jogviszonnyal kapcsolatos cselekmény. Ezt a határidős ügyletet gyakorlott jogászra kell bízni. Az ügylettel a vállalati jogtanácsost bízták meg."
ügynök,4,fn,ök öt e,"Üzletszerző, üzletkötő. Egy ügynök megpróbált rám sózni egy csomó értéktelen festményt. Titkosszolgálat megbízásából tevékenykedő személy. A titkos ügynök fedőneve: Skorpió. (kissé régi) A környezetében élők megfigyelésére beszervezett, róluk rendszeres jelentéstételre vállalkozó személy. Nem minden volt szocialista országban teszik közzé az egykori ügynökök névsorát. Több politikusról kiderült, hogy ügynök volt az előző rendszerben."
ügynökség,4,fn,ek et e,"Ügynöki munka. Nem való már neki az ügynökség, nem bírja az örökös utazást. Ügynöki tevékenységgel foglalkozó Egy biztosítási ügynökségen kapott állást. (rosszalló) Kémszervezet. A titkos ügynökséget bízták meg az ügy felderítésével. Leleplezték az ügynökséget."
ügyvéd,5,fn,ek et je,"~ek, ~et, ~je Jogi képviselettel hivatásszerűen foglalkozó jogvégzett személy. A vádlott védelmét hivatalból kirendelt ügyvéd látja el. ördög ügyvédje szentté avatási eljárás során hivatalból kifogásokat támasztó egyházjogász valakinek az álláspontját cáfolni igyekvő, mindenben hibát kereső személy."
ük,2,fn,ök öt e,"Nagyszülő nagyanyja, nagyapja. Egyik üke osztrák volt. (régi, választékos) Távoli ős. Apai ükeim mind katonatisztek"
ükunoka,2,fn,,Unoka unokája. Az emléktáblát a neves ember ükunokája leplezte le.
ül,5,ige,ni,"(Ember, esetleg állat) testének valamivel alátámasztott alsó részére nehezedve nyugalmi helyzetben van. Merev háttal ül a széken. A vonaton menetiránnyal szemben szeretek ülni. A macska az ablakpárkányon ül. : képzőművész előtt ül, hogy az festményt vagy szobrot készítsen róla. Modellt ült egy neves festőművésznek. A rajta való üléssel koptat. ülte a nadrágját. (rosszalló is) Hosszabb ideig tartózkodik valahol. Egész nap otthon ül. Már egy hete a nyakunkon ül, nem akar elmenni. (Fv) (Rendszeres tartózkodásra vonatkozóan:) A tanár úr nem itt ül, hanem a másik szobában. (bizalmas) Börtönben van. Betörésért három évet ült. (Kifejezésekben:) Nyakig ül az adósságban teljesen eladósodott. | (bizalmas) kuporgatja a pénzét, fösvény. | hosszasan magánál tart egy könyvet, amelyet sokáig olvas. (régi) Bíráskodik valaki felett, illetve megszállva tart valamit. törvényt ülnek felette. Ellenség üli a várat. Ülve elhelyezkedik valahol. Asztalhoz ül. Bársonyszékbe ül a pápa az audiencia alatt. Lóra ült, és elvágtatott. Mindannyian villamosra ültünk. A tégla szilárdan ül a falban. Ez a találat ül, telibe találtad a céltáblát! (Fv) Helyes, rendben levő. Nem ül az eredmény, pedig már többször is átszámoltam. (választékos) Valami ül valahol : ellepi, borítja. Felhő ül a hegy csúcsán. Szomorúság ül a tekintetében. Könny ül a szemében. Gond ül (a) homlokán."
ül,4,ige,ni,"Ünnepel valamit, illetve (ünnepet) megtart. Tort ül a család. Győzelmet ült a török sereg Buda elfoglalásakor."
üldögél,4,ige,ni,Huzamos ideig ül valahol. Órákig tudok üldögélni a patakparton.
üldöz,5,ige,ni,"A nyomában van valakinek, valaminek. Az ellenséget üldözik. Engem üldöz a balszerencse. (választékos) Szerelmével üldözi szegény asszonyt. Szigorúan tilt és büntet valamit. A törvény üldözi a pénzhamisítást."
üledék,3,fn,ek et e,"Folyadékból kivált és leülepedett réteg. A seprő a bor üledéke, a zacc a feketekávéé. Többféle kőzet is üledékből keletkezett."
ülep,2,fn,ek et e,Valakinek a fara. Verekedés közben valaki jól ülepen rúgta. Nadrágnak az alfelet takaró része. Figyelj csak! Kiszakadt a nadrágod ülepe.
üleped|ik,2,ige,ni,"(Folyadékban vagy gázban lebegő szemcsés anyag) folyamatosan leszáll, lerakódik. A felkavart vízben a homok lassan ülepedett. A lovak elvágtattak, a por már ülepedik. (Fal) megsüllyed. A frissen rakott fal ülepedik."
üleped|ik,2,ige,ni,"(népi, ritka) Leül valahova. Ülepedjék ide, öregapám, erre a fatönkre!"
ülepít,1,ige,eni,Szilárd alkotórészeit kiválasztja. A szennyvizet tisztítás előtt ülepítik.
ülés,5,fn,ek t e,"Ülő helyzet, illetve ennek valamilyen módja. Nehezemre esik az ülés, mert egész nap lovagoltam. Kényelmetlen az ülés ezen A festő előtt modellként tartózkodás. Három ülésben készült el az arcképe. Ma már az autókban a hátsó ülésen is van biztonsági öv. Hivatalos tanácskozás. Az ülés napirendjén három kérdés szerepelt. Az országgyűlés ma zárt ülést tart."
ülésez|ik,3,ige,ni,"Tanácskozást tart. A parlament ülésezik ma délután. (Személy) üléseken vesz részt. Te folyton ülésezel, alig vagy itthon."
ülésszak,2,fn,,"(hivatalos) Az az időszak, amikor valamely testület ülésezik. A parlament a következő ülésszakon napirendre tűzi a törvényjavaslatot. Előadásokat tartalmazó üléssorozat. Intézetünkben tudományos ülésszak kezdődik."
üllő,3,fn,k t je,"Vaskos acéltömb, melyen az izzó vasat kalapálják. A kovácsműhelyben cseng a csónak formájú üllő. A középfül egyik hallócsontja. A hallócsontocskák: a kalapács, az üllő és a kengyel."
ülnök,2,fn,ök öt e,"A bíróság munkájában részt vevő, de nem jogi képzettségű személy. A két ülnök az egész tárgyalás alatt egy szót sem szólt. Gyámhatóság tagja. Árvaszéki ülnök intézte régen az árvák és gondnokság alá helyezettek ügyeit."
ülő i.,3,mn,k t,Huzamos üléssel járó. Az ülő életmód veszélyei közé tartoznak a gerincbetegségek.
ülő ii.,4,fn,k t je,"Aki valahol ül. Az ülők izgatottan nyújtogatták a nyakukat, de az állók jól láttak. (népi) Létraszerű éjszakai pihenőhely baromfi számára. A tyúkok felszálltak az ülőre."
ülőke,2,fn,,"Ülőalkalmatosság fedőlapja. A vécékagyló ülőkéjét kicseréltük az új lakásba költözéskor. Kis, támlátlan ülőalkalmatosság. Szék helyett ez az ülőke is megteszi. (tréfás) Ülep. Ne viháncoljatok már, üljetek le kicsit az ülőkétekre!"
ültet,5,ige,ni,"Valahová ülésre késztet valakit. Asztalhoz ülteti a vendéget. A vádlottak padjára ültetik, mert bűncselekménnyel vádolják. : hatalommal felruházza. Trónra ültették a legidősebb herceget apja halála után. (Növény magját vagy hajtását) szaporítás céljából a földbe dugja. Virágot ültet. Diófát ültet a kert végébe. (népi) Kotlót helyez a kikeltendő Tyúkot ültet a nagymamám, nemsokára lesznek kiscsibék."
ültetvény,3,fn,ek t e,"Nagyobb területen termesztett mezőgazdasági növények állománya. Az ültetvény jövőre fordul termőre. Arról az ültetvényről rekordtermést szüreteltünk. Egyfajta haszonnövény (gyapot, cukornád stb.) termesztésére létesített nagybirtok. ültetvényeket még a XIX. században is rabszolgamunkával művelték. (ritka) Kiültetett fiatal növény. Jól fejlődnek az ültetvények, nemsokára elérik végleges magasságukat."
ültő,1,mn,,"(Kifejezésekben:) (Egy) ültő helyében úgy, hogy közben nem mozdul el. Egy ültő helyében megevett egy libát. Ültő helyében elaludt a metrón a kimerültségtől."
ünnep,5,fn,ek et e,"Valamely (történelmi) esemény, személy emlékezetének szentelt nap. Március 15-e és október 23-a nemzeti ünnepeink. A karácsony és a húsvét egyházi ünnepek. Ma kedd van, de ünnep, nem kell iskolába menni. : több napig tartó (egyházi) ünnep napjai. Az ünnepekre hazautazom a szüleimhez. A bolt az ünnepek alatt zárva tart. Szűkebb (családi vagy munkahelyi) közösség valamely tagjának jeles napja. Holnap ünnep lesz nálunk, Gergely-napot tartunk."
ünnepel,5,ige,ni,"(Ünnepet) megtart. Feleségem születésnapját ünnepeljük. (Tárgy nélkül:) Ti hol ünnepeltek karácsony este? Ma nem dolgozunk, ünnepelünk. Valakit köszönt. A híres énekest a tömeg üdvrivalgással, tapssal ünnepli."
ünnepély,4,fn,ek t e,Nagyobb szabású ünnepség. Az iskolai ünnepélyen az énekkar is szerepelt.
ünnepélyes,4,mn,ek et en,"~ek, ~et, ~en Az ünnepi alkalomhoz méltó. Az államfőt ünnepélyes külsőségek között fogadták a repülőtéren. A menet ünnepélyes lassúsággal közeledik. Ünnepélyes csendben kísérték a híres ember koporsóját. Ünnepi formaságokkal történő. orvostanhallgatók ünnepélyes esküt tettek."
ünneplő,4,mn,k t n en,"Ünnepen részt vevő. Tisztelt ünneplő közönség! (Főnévi használatban:) Megkérem az ünneplőket, foglaljanak helyet. Ünnepen viselt. Hol az ünneplő öltönyöm? (Főnévi használatban:) A falusiak ünneplőt öltenek, a városiak gálába vágják"
ünnepség,4,fn,ek et e,"Ünnep alkalmából tartott rendezvény. Az ünnepségen a vállalat igazgatója is megjelent. Vasárnap, a nagyapa születésnapján családi ünnepség lesz nálunk."
ünő,1,fn,k t je,A szarvas fiatal nősténye. Az ünő kecsesen lépkedett az erdei tisztáson.
űr,4,fn,t je,"(régi, választékos) Tágas mélység, távolság, illetve hiány. Nagy űr támadt közöttük, mivel évekig nem látták egymást. Édesapánk halálával pótolhatatlan űrt hagyott maga után. Az űrhajónak már három napja nyoma veszett az űrben."
űrállomás,4,fn,,"Föld körüli pályán keringő nagyméretű műhold tudományos feladatok elvégzésére és űrhajók közlekedésének lebonyolítására. Az űrállomás távközlési feladatok ellátására is alkalmas. Az űrhajósok az űrállomásról továbbították a kőzetmintákat, amelyeket a Holdon találtak."
üreg,4,fn,ek et e,"Üres tér valamely szilárd anyagban. A vízmosás mély üreget vájt a talajba. Az üregi nyúl, a hörcsög, az ürge föld alatti üregeket készít magának. Emberi, állati testben levő (zárt) mélyedés. A szem, a has, a gyomor ürege ma már modern orvosi eszközökkel vizsgálható."
üres,5,mn,ek et en,"~ek, ~et, ~en Olyan, amiben, illetve amin nincs semmi, senki vagy hiányzik az, ami, aki benne, illetve rajta szokott lenni. Üres a poharam, tölts légy szíves bort! Gyertek fel nyugodtan, üres a lakás. Az új házban még csak az üres falak állnak. : anélkül, hogy hozna valamit. Nem jöttem üres kézzel, ezt az ajándékot hoztam az ünnepeltnek. Valamely anyag nélküli (étel, ital). Reggelire pirítóst eszik üres kávéval. Egy szelet üres kenyeret rágcsál. Szabad (idő). Üres óráiban az éremgyűjteményével pepecsel. Valamilyen, főként lelki, szellemi tartalom nélküli. Mióta elhagytál, üres az életem. Ez csak üres fenyegetés, nem kell tőle megijedni. Üres fecsegés, amit az az üresfejű lány mondott."
üresedés,2,fn,ek t e,"Megüresedett állás. A hivatalban üresedés volt, de már betöltötték."
